Lon Lat Year TeSW TeWW TeSWstd
8.75 50.75 1980 0 0 1
8.75 50.75 1981 0.5 0.5 0
82.75 25.25 1980 0 0 1
82.75 25.25 1981 0.5 0.5 0
-98.75 19.25 1980 0 0 1
-98.75 19.25 1981 0.5 0.5 0
32.75 30.75 1980 0 0 1
32.75 30.75 1981 0.5 0.5 0
-72.25 -36.75 1980 0 0 1
-72.25 -36.75 1981 0.5 0.5 0
-52.25 -28.25 1980 0 0 1
-52.25 -28.25 1981 0.5 0.5 0
16.75 52.25 1980 0 0 1
16.75 52.25 1981 0.5 0.5 0
108.25 34.25 1980 0 0 1
108.25 34.25 1981 0.5 0.5 0
115.25 38.75 1980 0 0 1
115.25 38.75 1981 0.5 0.5 0
113.75 34.75 1980 0 0 1
113.75 34.75 1981 0.5 0.5 0
142.25 -36.75 1980 0 0 1
142.25 -36.75 1981 0.5 0.5 0
141.75 -35.25 1980 0 0 1
141.75 -35.25 1981 0.5 0.5 0
23.25 60.75 1980 0 0 1
23.25 60.75 1981 0.5 0.5 0
5.75 52.25 1980 0 0 1
5.75 52.25 1981 0.5 0.5 0
