      Lon      Lat    Year         NH3          NO         N2O          N2
    41.75    60.75    1980    0.023168    6.436782    6.066977    0.010534
    41.75    60.75    1981    0.037723    9.622807    8.474601    0.002619
    41.75    60.75    1982    0.022309    6.238415    5.545780    0.000101
    41.75    60.75    1983    0.026708    7.488528    7.214923    0.031639
    41.75    60.75    1984    0.025442    6.650236    6.287982    0.002309
    41.75    60.75    1985    0.024212    6.408504    5.944536    0.003869
    41.75    60.75    1986    0.020509    5.530715    5.232426    0.017087
    41.75    60.75    1987    0.021427    5.961308    5.721045    0.005875
    41.75    60.75    1988    0.033860    9.454982    8.918344    0.000000
    41.75    60.75    1989    0.035281    9.504662    9.017818    0.020591
    41.75    60.75    1990    0.024046    6.444305    6.032611    0.003234
    41.75    60.75    1991    0.026987    7.712114    7.169367    0.000000
    41.75    60.75    1992    0.020977    5.445461    4.412885    0.000026
    41.75    60.75    1993    0.019801    4.845401    4.592885    0.001837
    41.75    60.75    1994    0.018733    4.472372    4.090402    0.036519
    41.75    60.75    1995    0.028199    7.898958    7.475998    0.000131
    41.75    60.75    1996    0.020266    5.463271    4.992291    0.000148
    41.75    60.75    1997    0.021208    5.565998    4.714596    0.000436
    41.75    60.75    1998    0.024514    5.848817    5.632281    0.034642
    41.75    60.75    1999    0.031560    8.612785    7.726078    0.000006
    41.75    60.75    2000    0.028475    7.497066    6.835577    0.000000
    41.75    60.75    2001    0.024426    5.983920    4.878072    0.000035
    41.75    60.75    2002    0.022916    5.964682    5.118821    0.001328
    41.75    60.75    2003    0.023301    5.624360    4.928869    0.045053
    41.75    60.75    2004    0.022595    6.052764    5.443476    0.002439
    41.75    60.75    2005    0.026927    7.221470    6.377483    0.000000
    41.75    60.75    2006    0.023220    5.728427    5.045971    0.007805
    41.75    60.75    2007    0.022520    5.754436    5.624348    0.085603
    41.75    60.75    2008    0.016997    4.480145    4.233808    0.016594
    41.75    60.75    2009    0.018326    4.630482    4.191231    0.000975
    41.75    60.75    2010    0.028848    6.762289    5.822701    0.002359
   142.25   -20.25    1980    0.037761   10.746911   12.812190    0.544208
   142.25   -20.25    1981    0.039691   10.228561   12.850887    1.290949
   142.25   -20.25    1982    0.034019   10.358114   12.297473    0.554394
   142.25   -20.25    1983    0.034040   10.375540   11.999204    0.619410
   142.25   -20.25    1984    0.032856    8.917804   11.276069    0.939414
   142.25   -20.25    1985    0.035677   11.334061   12.975172    0.363726
   142.25   -20.25    1986    0.038375   11.545700   12.059855    0.062131
   142.25   -20.25    1987    0.037148   10.639247   13.476387    0.786255
   142.25   -20.25    1988    0.034655   10.775490   12.041472    0.252585
   142.25   -20.25    1989    0.036499   10.067771   13.221933    0.967813
   142.25   -20.25    1990    0.030171    9.718231   11.492399    1.060636
   142.25   -20.25    1991    0.034011    9.399160    9.732973    0.201172
   142.25   -20.25    1992    0.037197   10.681557   11.472014    0.177706
   142.25   -20.25    1993    0.038762   10.430704   12.853420    1.723100
   142.25   -20.25    1994    0.033926   10.380525   12.850889    1.244251
   142.25   -20.25    1995    0.036391   10.147999   10.894977    0.158152
   142.25   -20.25    1996    0.036011   10.533170   12.026418    0.404198
   142.25   -20.25    1997    0.034074    8.305470    8.800987    0.171921
   142.25   -20.25    1998    0.037022   10.895241   11.972739    0.237795
   142.25   -20.25    1999    0.035666    9.292944   10.454552    0.391299
   142.25   -20.25    2000    0.034969    8.806896   10.060190    0.408314
   142.25   -20.25    2001    0.033454    9.233741    9.916459    0.207101
   142.25   -20.25    2002    0.030378    9.015030    9.475609    0.189998
   142.25   -20.25    2003    0.035676   10.021109   10.696638    0.184167
   142.25   -20.25    2004    0.031763    8.445591    8.863243    0.221694
   142.25   -20.25    2005    0.034972   11.015028   11.851618    0.189625
   142.25   -20.25    2006    0.028839    8.178373    8.879200    0.229860
   142.25   -20.25    2007    0.030364    8.645800   10.284287    0.593121
   142.25   -20.25    2008    0.032240    9.431221    9.992052    0.176407
   142.25   -20.25    2009    0.032151    8.265164    8.612663    0.242260
   142.25   -20.25    2010    0.037109    8.082346    9.584557    0.523756
