      Lon      Lat    Year        NH4        NO3        NO2         NO        N2O         N2
    41.75    60.75    1980    95.4103    16.1312     0.0000     0.0133     0.0035     0.0000
    41.75    60.75    1981    89.4593    11.3119     0.0000     0.0182     0.0090     0.0000
    41.75    60.75    1982    81.8075     0.0072     0.0000     0.0184     0.0094     0.0000
    41.75    60.75    1983    78.7637     7.6047     0.0000     0.0145     0.0066     0.0000
    41.75    60.75    1984    84.4490     7.0976     0.0000     0.0232     0.0158     0.0002
    41.75    60.75    1985    78.9542    13.0860     0.0000     0.0286     0.0206     0.0000
    41.75    60.75    1986    85.4733     6.5591     0.0000     0.0349     0.0250     0.0001
    41.75    60.75    1987    88.2204    11.3884     0.0000     0.0354     0.0278     0.0000
    41.75    60.75    1988    81.0501    13.4470     0.0000     0.0301     0.0168     0.0000
    41.75    60.75    1989    77.9612     6.1578     0.0000     0.0150     0.0075     0.0002
    41.75    60.75    1990    71.6622     8.4209     0.0000     0.0093     0.0020     0.0000
    41.75    60.75    1991    69.1426     9.5120     0.0000     0.0255     0.0185     0.0000
    41.75    60.75    1992    68.5488    25.4275     0.0167     0.0348     0.0241     0.0000
    41.75    60.75    1993    66.1357     7.0644     0.0000     0.0086     0.0021     0.0000
    41.75    60.75    1994    66.9507    11.4739     0.0000     0.0151     0.0087     0.0000
    41.75    60.75    1995    75.0894    11.1790     0.0000     0.0192     0.0126     0.0000
    41.75    60.75    1996    71.0589     7.4360     0.0000     0.0421     0.0368     0.0000
    41.75    60.75    1997    75.0276    14.9236     0.0000     0.0112     0.0035     0.0000
    41.75    60.75    1998    75.4391     5.4830     0.0000     0.0153     0.0083     0.0000
    41.75    60.75    1999    75.2616    14.0000     0.0000     0.0158     0.0086     0.0000
    41.75    60.75    2000    72.6155     9.4386     0.0000     0.0273     0.0206     0.0000
    41.75    60.75    2001    68.2537    15.9932     0.0000     0.0303     0.0243     0.0000
    41.75    60.75    2002    65.9175    19.5654     0.0000     0.0131     0.0066     0.0000
    41.75    60.75    2003    67.1511     8.8561     0.0000     0.0127     0.0058     0.0000
    41.75    60.75    2004    60.3585     7.2803     0.0000     0.0140     0.0081     0.0000
    41.75    60.75    2005    60.2032    14.1457     0.0000     0.0256     0.0200     0.0000
    41.75    60.75    2006    59.5733     6.6749     0.0000     0.0227     0.0154     0.0000
    41.75    60.75    2007    54.1304     9.2214     0.0000     0.0089     0.0035     0.0000
    41.75    60.75    2008    48.6794     4.4333     0.0000     0.0196     0.0147     0.0000
    41.75    60.75    2009    49.4559     6.8043     0.0000     0.0251     0.0204     0.0000
    41.75    60.75    2010    58.0940     9.2065     0.0000     0.0354     0.0314     0.0000
   142.25   -20.25    1980    14.2075    44.5298     0.8968     0.0660     0.0667     0.0001
   142.25   -20.25    1981    13.1938    35.7959     0.8522     0.0763     0.0773     0.0001
   142.25   -20.25    1982    12.8902    39.9045     0.8282     0.0628     0.0634     0.0000
   142.25   -20.25    1983    13.7956    38.7927     0.9066     0.0830     0.0839     0.0001
   142.25   -20.25    1984    13.6520    33.5849     0.7642     0.0836     0.0844     0.0001
   142.25   -20.25    1985    13.0831    40.7450     1.8466     0.0959     0.1010     0.0004
   142.25   -20.25    1986    14.6021    51.6336     1.3753     0.0873     0.0893     0.0001
   142.25   -20.25    1987    12.4428    38.3189     1.9543     0.0369     0.0442     0.0014
   142.25   -20.25    1988    14.3615    41.0326     3.7254     0.0562     0.0833     0.0084
   142.25   -20.25    1989    14.8977    30.2226     0.9165     0.1269     0.1282     0.0001
   142.25   -20.25    1990    10.7426    31.7658     0.8483     0.0653     0.0664     0.0001
   142.25   -20.25    1991    11.4251    35.0344     0.6057     0.0488     0.0491     0.0000
   142.25   -20.25    1992    14.4834    43.3002     1.9587     0.0706     0.0762     0.0006
   142.25   -20.25    1993    15.4927    39.5852     1.8423     0.0927     0.0993     0.0008
   142.25   -20.25    1994    11.3127    39.9494     0.5395     0.0443     0.0444     0.0000
   142.25   -20.25    1995    13.3111    38.1574     2.0254     0.0478     0.0560     0.0011
   142.25   -20.25    1996    11.5294    34.2538     1.3284     0.0988     0.1019     0.0002
   142.25   -20.25    1997    13.9870    22.7394     2.5418     0.0277     0.0493     0.0128
   142.25   -20.25    1998    10.9886    27.3488     1.9662     0.0515     0.0582     0.0062
   142.25   -20.25    1999    13.1363    26.4365     2.2166     0.0398     0.0531     0.0063
   142.25   -20.25    2000    14.3283    17.0739     2.8133     0.0145     0.0522     0.0461
   142.25   -20.25    2001     9.9886    26.2781     1.9944     0.0697     0.0805     0.0013
   142.25   -20.25    2002    10.9894    39.1081     0.6640     0.0403     0.0405     0.0000
   142.25   -20.25    2003    13.4049    37.2772     2.5616     0.0462     0.0587     0.0047
   142.25   -20.25    2004    12.4856    28.9632     2.3704     0.0377     0.0530     0.0112
   142.25   -20.25    2005    10.6430    40.7888     1.4872     0.0832     0.0864     0.0002
   142.25   -20.25    2006     9.7740    29.9560     0.6509     0.0464     0.0468     0.0000
   142.25   -20.25    2007    11.9562    24.5795     2.8118     0.0249     0.0565     0.0125
   142.25   -20.25    2008     9.4166    30.3248     1.4110     0.0495     0.0529     0.0004
   142.25   -20.25    2009    13.4022    32.4374     1.9207     0.0445     0.0518     0.0033
   142.25   -20.25    2010    15.3470    14.7585     2.5909     0.0099     0.0534     0.0441
