      Lon      Lat    Year    TeWW    TeSW   TeWWi   TeSWi
    41.75    60.75    1980    1147    1435    1147    1435
    41.75    60.75    1981    1140    1429    1140    1429
    41.75    60.75    1982    1165    1457    1165    1457
    41.75    60.75    1983    1155    1447    1155    1447
    41.75    60.75    1984    1159    1458    1159    1458
    41.75    60.75    1985    1168    1467    1168    1467
    41.75    60.75    1986    1170    1468    1170    1468
    41.75    60.75    1987    1167    1461    1167    1461
    41.75    60.75    1988    1163    1456    1163    1456
    41.75    60.75    1989    1186    1481    1186    1481
    41.75    60.75    1990    1203    1500    1203    1500
    41.75    60.75    1991    1194    1485    1194    1485
    41.75    60.75    1992    1200    1496    1200    1496
    41.75    60.75    1993    1194    1493    1194    1493
    41.75    60.75    1994    1187    1480    1187    1480
    41.75    60.75    1995    1177    1474    1177    1474
    41.75    60.75    1996    1193    1492    1193    1492
    41.75    60.75    1997    1190    1484    1190    1484
    41.75    60.75    1998    1189    1483    1189    1483
    41.75    60.75    1999    1195    1493    1195    1493
    41.75    60.75    2000    1206    1505    1206    1505
    41.75    60.75    2001    1220    1518    1220    1518
    41.75    60.75    2002    1219    1522    1219    1522
    41.75    60.75    2003    1218    1513    1218    1513
    41.75    60.75    2004    1225    1529    1225    1529
    41.75    60.75    2005    1226    1536    1226    1536
    41.75    60.75    2006    1237    1556    1237    1556
    41.75    60.75    2007    1240    1563    1240    1563
    41.75    60.75    2008    1249    1576    1249    1576
    41.75    60.75    2009    1239    1568    1239    1568
    41.75    60.75    2010    1240    1572    1240    1572
   142.25   -20.25    1980    3474    3474    3955    3791
   142.25   -20.25    1981    3459    3459    3953    3791
   142.25   -20.25    1982    3458    3458    3952    3790
   142.25   -20.25    1983    3462    3462    3945    3783
   142.25   -20.25    1984    3457    3457    3949    3783
   142.25   -20.25    1985    3442    3442    3951    3775
   142.25   -20.25    1986    3442    3442    3945    3771
   142.25   -20.25    1987    3448    3448    3945    3772
   142.25   -20.25    1988    3461    3461    3946    3774
   142.25   -20.25    1989    3459    3459    3954    3783
   142.25   -20.25    1990    3458    3458    3946    3776
   142.25   -20.25    1991    3450    3450    3947    3769
   142.25   -20.25    1992    3451    3451    3942    3767
   142.25   -20.25    1993    3456    3456    3940    3767
   142.25   -20.25    1994    3452    3452    3945    3774
   142.25   -20.25    1995    3458    3458    3940    3770
   142.25   -20.25    1996    3468    3468    3940    3772
   142.25   -20.25    1997    3463    3463    3937    3771
   142.25   -20.25    1998    3462    3462    3940    3775
   142.25   -20.25    1999    3465    3465    3965    3786
   142.25   -20.25    2000    3458    3458    3958    3782
   142.25   -20.25    2001    3457    3457    3948    3775
   142.25   -20.25    2002    3462    3462    3942    3770
   142.25   -20.25    2003    3462    3462    3943    3773
   142.25   -20.25    2004    3467    3467    3946    3777
   142.25   -20.25    2005    3472    3472    3939    3772
   142.25   -20.25    2006    3469    3469    3947    3781
   142.25   -20.25    2007    3455    3455    3941    3775
   142.25   -20.25    2008    3452    3452    3951    3773
   142.25   -20.25    2009    3443    3443    3943    3768
   142.25   -20.25    2010    3431    3431    3939    3767
