      Lon      Lat    Year     Total
    41.75    60.75    1980     0.013
    41.75    60.75    1981     0.886
    41.75    60.75    1982     2.342
    41.75    60.75    1983     0.000
    41.75    60.75    1984     0.000
    41.75    60.75    1985     0.014
    41.75    60.75    1986     0.143
    41.75    60.75    1987     0.000
    41.75    60.75    1988     0.000
    41.75    60.75    1989     0.000
    41.75    60.75    1990     0.019
    41.75    60.75    1991     0.500
    41.75    60.75    1992     3.079
    41.75    60.75    1993     0.000
    41.75    60.75    1994     1.910
    41.75    60.75    1995     0.036
    41.75    60.75    1996     1.398
    41.75    60.75    1997     2.523
    41.75    60.75    1998     0.000
    41.75    60.75    1999     0.878
    41.75    60.75    2000     0.958
    41.75    60.75    2001     3.970
    41.75    60.75    2002     1.665
    41.75    60.75    2003     2.165
    41.75    60.75    2004     2.134
    41.75    60.75    2005     1.457
    41.75    60.75    2006     1.426
    41.75    60.75    2007     0.980
    41.75    60.75    2008     0.503
    41.75    60.75    2009     0.726
    41.75    60.75    2010     2.142
   142.25   -20.25    1980    16.193
   142.25   -20.25    1981    13.854
   142.25   -20.25    1982    22.999
   142.25   -20.25    1983    23.331
   142.25   -20.25    1984    23.306
   142.25   -20.25    1985    22.446
   142.25   -20.25    1986    18.419
   142.25   -20.25    1987    19.289
   142.25   -20.25    1988    18.122
   142.25   -20.25    1989    19.026
   142.25   -20.25    1990    37.304
   142.25   -20.25    1991    23.261
   142.25   -20.25    1992    20.371
   142.25   -20.25    1993    14.294
   142.25   -20.25    1994    30.598
   142.25   -20.25    1995    17.265
   142.25   -20.25    1996    16.844
   142.25   -20.25    1997    20.664
   142.25   -20.25    1998    20.630
   142.25   -20.25    1999    17.375
   142.25   -20.25    2000    14.128
   142.25   -20.25    2001    26.345
   142.25   -20.25    2002    31.766
   142.25   -20.25    2003    24.346
   142.25   -20.25    2004    29.066
   142.25   -20.25    2005    24.299
   142.25   -20.25    2006    32.683
   142.25   -20.25    2007    33.682
   142.25   -20.25    2008    28.019
   142.25   -20.25    2009    24.877
   142.25   -20.25    2010    10.264
