      Lon      Lat    Year    TeWW    TeSW   TeWWi   TeSWi
    41.75    60.75    1980     111     132     111     132
    41.75    60.75    1981      86     102      86     102
    41.75    60.75    1982     119     141     119     141
    41.75    60.75    1983      97     114      97     114
    41.75    60.75    1984      89     110      89     110
    41.75    60.75    1985     108     126     108     126
    41.75    60.75    1986     105     126     105     126
    41.75    60.75    1987     106     129     106     129
    41.75    60.75    1988      86     101      86     101
    41.75    60.75    1989      86     101      86     101
    41.75    60.75    1990     113     137     113     137
    41.75    60.75    1991      99     113      99     113
    41.75    60.75    1992     115     129     115     129
    41.75    60.75    1993     112     141     112     141
    41.75    60.75    1994     120     139     120     139
    41.75    60.75    1995      86     106      86     106
    41.75    60.75    1996     114     141     114     141
    41.75    60.75    1997     109     127     109     127
    41.75    60.75    1998      95     113      95     113
    41.75    60.75    1999      84     107      84     107
    41.75    60.75    2000      94     114      94     114
    41.75    60.75    2001     104     125     104     125
    41.75    60.75    2002     112     130     112     130
    41.75    60.75    2003      99     112      99     112
    41.75    60.75    2004     109     122     109     122
    41.75    60.75    2005      97     112      97     112
    41.75    60.75    2006     109     122     109     122
    41.75    60.75    2007     103     115     103     115
    41.75    60.75    2008     120     142     120     142
    41.75    60.75    2009     111     126     111     126
    41.75    60.75    2010      86      98      86      98
   142.25   -20.25    1980     180     180     220     212
   142.25   -20.25    1981     190     190     219     211
   142.25   -20.25    1982     180     180     219     211
   142.25   -20.25    1983     177     177     222     215
   142.25   -20.25    1984     186     186     223     210
   142.25   -20.25    1985     191     191     230     215
   142.25   -20.25    1986     181     181     222     214
   142.25   -20.25    1987     177     177     218     210
   142.25   -20.25    1988     174     174     218     210
   142.25   -20.25    1989     181     181     214     206
   142.25   -20.25    1990     182     182     223     215
   142.25   -20.25    1991     187     187     230     214
   142.25   -20.25    1992     180     180     220     212
   142.25   -20.25    1993     179     179     219     210
   142.25   -20.25    1994     185     185     216     207
   142.25   -20.25    1995     178     178     221     213
   142.25   -20.25    1996     176     176     218     210
   142.25   -20.25    1997     186     186     220     212
   142.25   -20.25    1998     181     181     217     209
   142.25   -20.25    1999     181     181     219     205
   142.25   -20.25    2000     183     183     221     212
   142.25   -20.25    2001     182     182     224     215
   142.25   -20.25    2002     177     177     222     213
   142.25   -20.25    2003     181     181     218     209
   142.25   -20.25    2004     179     179     217     209
   142.25   -20.25    2005     178     178     223     213
   142.25   -20.25    2006     181     181     215     207
   142.25   -20.25    2007     186     186     222     214
   142.25   -20.25    2008     185     185     231     211
   142.25   -20.25    2009     189     189     222     212
   142.25   -20.25    2010     189     189     220     211
