      Lon      Lat    Year    TeWW    TeSW   TeWWi   TeSWi
    41.75    60.75    1980   0.968   0.967   0.968   0.967
    41.75    60.75    1981   0.953   0.949   0.959   0.958
    41.75    60.75    1982   0.966   0.963   0.969   0.965
    41.75    60.75    1983   0.967   0.966   0.967   0.966
    41.75    60.75    1984   0.963   0.964   0.964   0.964
    41.75    60.75    1985   0.969   0.969   0.969   0.969
    41.75    60.75    1986   0.966   0.965   0.967   0.966
    41.75    60.75    1987   0.968   0.968   0.968   0.968
    41.75    60.75    1988   0.962   0.960   0.962   0.961
    41.75    60.75    1989   0.958   0.956   0.958   0.957
    41.75    60.75    1990   0.969   0.961   0.969   0.961
    41.75    60.75    1991   0.965   0.964   0.967   0.966
    41.75    60.75    1992   0.965   0.965   0.969   0.968
    41.75    60.75    1993   0.969   0.962   0.969   0.962
    41.75    60.75    1994   0.966   0.966   0.969   0.968
    41.75    60.75    1995   0.953   0.957   0.956   0.960
    41.75    60.75    1996   0.969   0.968   0.969   0.969
    41.75    60.75    1997   0.957   0.956   0.966   0.965
    41.75    60.75    1998   0.967   0.966   0.967   0.966
    41.75    60.75    1999   0.940   0.947   0.957   0.959
    41.75    60.75    2000   0.961   0.962   0.966   0.966
    41.75    60.75    2001   0.958   0.959   0.968   0.968
    41.75    60.75    2002   0.964   0.965   0.968   0.968
    41.75    60.75    2003   0.964   0.964   0.969   0.968
    41.75    60.75    2004   0.968   0.968   0.970   0.969
    41.75    60.75    2005   0.964   0.965   0.968   0.968
    41.75    60.75    2006   0.966   0.966   0.968   0.968
    41.75    60.75    2007   0.969   0.969   0.970   0.969
    41.75    60.75    2008   0.969   0.957   0.969   0.957
    41.75    60.75    2009   0.968   0.968   0.969   0.968
    41.75    60.75    2010   0.942   0.909   0.959   0.956
   142.25   -20.25    1980   0.521   0.501   0.943   0.901
   142.25   -20.25    1981   0.504   0.483   0.919   0.874
   142.25   -20.25    1982   0.503   0.488   0.942   0.909
   142.25   -20.25    1983   0.490   0.479   0.940   0.919
   142.25   -20.25    1984   0.501   0.483   0.948   0.872
   142.25   -20.25    1985   0.481   0.468   0.955   0.921
   142.25   -20.25    1986   0.459   0.453   0.935   0.903
   142.25   -20.25    1987   0.485   0.474   0.915   0.874
   142.25   -20.25    1988   0.481   0.474   0.949   0.933
   142.25   -20.25    1989   0.519   0.506   0.903   0.853
   142.25   -20.25    1990   0.524   0.506   0.952   0.939
   142.25   -20.25    1991   0.490   0.471   0.959   0.932
   142.25   -20.25    1992   0.480   0.471   0.950   0.933
   142.25   -20.25    1993   0.534   0.512   0.925   0.873
   142.25   -20.25    1994   0.479   0.470   0.931   0.875
   142.25   -20.25    1995   0.495   0.482   0.954   0.946
   142.25   -20.25    1996   0.530   0.508   0.944   0.921
   142.25   -20.25    1997   0.529   0.504   0.955   0.943
   142.25   -20.25    1998   0.591   0.561   0.959   0.952
   142.25   -20.25    1999   0.615   0.564   0.962   0.934
   142.25   -20.25    2000   0.648   0.607   0.957   0.945
   142.25   -20.25    2001   0.618   0.578   0.961   0.956
   142.25   -20.25    2002   0.506   0.487   0.962   0.958
   142.25   -20.25    2003   0.522   0.506   0.952   0.939
   142.25   -20.25    2004   0.525   0.505   0.951   0.937
   142.25   -20.25    2005   0.500   0.489   0.961   0.958
   142.25   -20.25    2006   0.599   0.565   0.953   0.942
   142.25   -20.25    2007   0.567   0.541   0.958   0.952
   142.25   -20.25    2008   0.543   0.508   0.965   0.951
   142.25   -20.25    2009   0.700   0.590   0.961   0.957
   142.25   -20.25    2010   0.672   0.599   0.955   0.941
