      Lon      Lat    Year    TeWW    TeSW   TeWWi   TeSWi
    41.75    60.75    1980   0.169   0.217   0.169   0.217
    41.75    60.75    1981   0.132   0.188   0.136   0.196
    41.75    60.75    1982   0.200   0.234   0.209   0.243
    41.75    60.75    1983   0.178   0.228   0.178   0.228
    41.75    60.75    1984   0.151   0.223   0.151   0.223
    41.75    60.75    1985   0.190   0.244   0.190   0.244
    41.75    60.75    1986   0.170   0.220   0.171   0.221
    41.75    60.75    1987   0.164   0.213   0.164   0.213
    41.75    60.75    1988   0.161   0.207   0.161   0.207
    41.75    60.75    1989   0.170   0.233   0.170   0.233
    41.75    60.75    1990   0.205   0.240   0.205   0.240
    41.75    60.75    1991   0.192   0.251   0.196   0.256
    41.75    60.75    1992   0.218   0.262   0.229   0.274
    41.75    60.75    1993   0.228   0.272   0.228   0.272
    41.75    60.75    1994   0.210   0.240   0.220   0.249
    41.75    60.75    1995   0.139   0.188   0.140   0.189
    41.75    60.75    1996   0.218   0.266   0.219   0.268
    41.75    60.75    1997   0.186   0.228   0.201   0.243
    41.75    60.75    1998   0.193   0.249   0.193   0.249
    41.75    60.75    1999   0.158   0.224   0.168   0.239
    41.75    60.75    2000   0.173   0.251   0.183   0.264
    41.75    60.75    2001   0.209   0.272   0.245   0.307
    41.75    60.75    2002   0.229   0.283   0.242   0.296
    41.75    60.75    2003   0.202   0.248   0.224   0.266
    41.75    60.75    2004   0.239   0.279   0.257   0.294
    41.75    60.75    2005   0.205   0.277   0.214   0.288
    41.75    60.75    2006   0.231   0.270   0.236   0.276
    41.75    60.75    2007   0.243   0.297   0.248   0.304
    41.75    60.75    2008   0.263   0.302   0.263   0.301
    41.75    60.75    2009   0.247   0.299   0.249   0.301
    41.75    60.75    2010   0.144   0.189   0.159   0.231
   142.25   -20.25    1980   0.042   0.032   0.256   0.210
   142.25   -20.25    1981   0.050   0.032   0.234   0.179
   142.25   -20.25    1982   0.038   0.025   0.222   0.189
   142.25   -20.25    1983   0.031   0.021   0.199   0.171
   142.25   -20.25    1984   0.051   0.036   0.226   0.183
   142.25   -20.25    1985   0.033   0.022   0.201   0.200
   142.25   -20.25    1986   0.028   0.014   0.218   0.204
   142.25   -20.25    1987   0.036   0.025   0.203   0.185
   142.25   -20.25    1988   0.025   0.019   0.218   0.203
   142.25   -20.25    1989   0.049   0.044   0.196   0.165
   142.25   -20.25    1990   0.056   0.045   0.239   0.245
   142.25   -20.25    1991   0.047   0.029   0.165   0.225
   142.25   -20.25    1992   0.038   0.029   0.235   0.210
   142.25   -20.25    1993   0.059   0.044   0.254   0.215
   142.25   -20.25    1994   0.042   0.028   0.235   0.173
   142.25   -20.25    1995   0.043   0.028   0.236   0.255
   142.25   -20.25    1996   0.052   0.034   0.266   0.255
   142.25   -20.25    1997   0.061   0.044   0.251   0.268
   142.25   -20.25    1998   0.064   0.059   0.277   0.296
   142.25   -20.25    1999   0.074   0.061   0.268   0.260
   142.25   -20.25    2000   0.103   0.091   0.302   0.313
   142.25   -20.25    2001   0.097   0.075   0.313   0.331
   142.25   -20.25    2002   0.050   0.030   0.256   0.284
   142.25   -20.25    2003   0.054   0.042   0.249   0.263
   142.25   -20.25    2004   0.062   0.043   0.273   0.289
   142.25   -20.25    2005   0.051   0.034   0.231   0.273
   142.25   -20.25    2006   0.072   0.063   0.255   0.261
   142.25   -20.25    2007   0.083   0.061   0.257   0.284
   142.25   -20.25    2008   0.078   0.060   0.192   0.317
   142.25   -20.25    2009   0.115   0.095   0.266   0.305
   142.25   -20.25    2010   0.113   0.106   0.310   0.335
